2021-04-25 10:26:01,973 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:22:13,877 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:22:13,881 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:22:13,918 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:22:13,920 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:22:13,948 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:11,707 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:31:11,891 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 141 ms.
2021-04-25 21:31:12,394 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:12,923 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 21:31:12,999 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:13,093 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:13,097 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:13,120 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:13,122 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:31:13,152 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 21:45:13,433 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:45:13,508 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 69 ms.
2021-04-25 21:45:14,152 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 21:46:30,913 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:46:30,982 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 64 ms.
2021-04-25 21:46:31,388 [ERROR] [main] [org.hibernate.hql.PARSER] .reportError(56) | line 1:8: unexpected token: from
2021-04-25 21:46:31,634 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 21:46:31,727 [ERROR] [main] [org.hibernate.hql.PARSER] .reportError(56) | line 1:8: unexpected token: from
2021-04-25 21:46:31,762 [ERROR] [main] [org.hibernate.hql.PARSER] .reportError(56) | line 1:8: unexpected token: from
2021-04-25 21:46:31,796 [ERROR] [main] [org.hibernate.hql.PARSER] .reportError(56) | line 1:8: unexpected token: from
2021-04-25 21:46:31,833 [ERROR] [main] [org.hibernate.hql.PARSER] .reportError(56) | line 1:8: unexpected token: from
2021-04-25 21:48:08,381 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 21:48:08,454 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 68 ms.
2021-04-25 21:48:09,071 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:01:26,590 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 22:01:26,675 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 79 ms.
2021-04-25 22:01:27,275 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:09:23,290 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 22:09:23,360 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 63 ms.
2021-04-25 22:09:23,966 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 22:09:24,069 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:09:24,125 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:09:24,146 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:09:24,250 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:09:24,263 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:09:24,272 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('') limit ?
2021-04-25 22:09:24,347 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 22:09:24,373 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:09:24,375 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:09:24,393 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:09:24,421 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:09:24,428 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:09:24,442 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:09:24,447 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:09:24,450 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:09:24,465 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:09:24,469 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:09:24,472 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:09:24,477 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:09:24,483 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:38:31,722 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 22:38:31,862 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 121 ms.
2021-04-25 22:38:32,796 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:38:32,968 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:38:33,002 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:38:33,084 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:38:33,096 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:38:33,268 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 22:38:33,303 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:38:33,305 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:38:33,327 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:38:33,337 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:38:33,343 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:38:33,354 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:38:33,356 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:38:33,359 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:38:33,375 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:38:33,409 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:38:33,421 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:38:33,424 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:38:33,427 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:42:24,249 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
2021-04-25 22:42:24,308 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(214) | Done executing SQL script from class path resource [db/dml_populate_db.sql] in 53 ms.
2021-04-25 22:42:24,961 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_
2021-04-25 22:42:25,084 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('bx') limit ?
2021-04-25 22:42:25,099 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:42:25,151 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:42:25,160 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:42:25,183 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('MI') limit ?
2021-04-25 22:42:25,224 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:42:25,228 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:42:25,245 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:42:25,259 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:42:25,269 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('pa') limit ?
2021-04-25 22:42:25,334 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:42:25,336 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('NC') limit ?
2021-04-25 22:42:25,341 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_0_, cityentity0_.LATE as LATE0_0_, cityentity0_.LNG as LNG0_0_, cityentity0_.NAME as NAME0_0_ from CITY cityentity0_ where cityentity0_.ID=?
2021-04-25 22:42:25,347 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | insert into CITY (LATE, LNG, NAME, ID) values (?, ?, ?, ?)
2021-04-25 22:42:25,349 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:42:25,352 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:42:25,356 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | delete from CITY where ID=?
2021-04-25 22:42:25,361 [DEBUG] [main] [org.hibernate.SQL] .logStatement(111) | select cityentity0_.ID as ID0_, cityentity0_.LATE as LATE0_, cityentity0_.LNG as LNG0_, cityentity0_.NAME as NAME0_ from CITY cityentity0_ where upper(cityentity0_.ID)=upper('UC') limit ?
2021-04-25 22:46:08,657 [INFO] [main] [org.springframework.jdbc.datasource.init.ResourceDatabasePopulator] .executeSqlScript(159) | Executing SQL script from class path resource [db/dml_populate_db.sql]
